时间,开盘,最高,最低,收盘,总手(万),金额(亿)
"1997-08-28,四",1201.06,1216.08,1194.68,1213.89,697108800,6013709300
"1997-08-29,五",1214.31,1223.07,1209.48,1221.06,736202400,6150700000
"1997-09-01,一",1224.18,1230.07,1219.09,1229.86,683517300,5991917000
"1997-09-02,二",1228.47,1232.69,1215.92,1226.3,593201900,5091316100
"1997-09-03,三",1223.61,1243.33,1223.46,1240.82,581319800,5352405900
"1997-09-04,四",1245.78,1253.15,1245.64,1251.3,556737100,5370932400
"1997-09-05,五",1250.59,1253.34,1241.22,1251.55,482254400,4392509800
"1997-09-08,一",1253.15,1257.55,1245.74,1255.23,552691400,4763892000
"1997-09-09,二",1255.18,1257.93,1230.44,1231.03,458267000,4003547400
"1997-09-10,三",1230.43,1256.04,1227.64,1256.04,542674300,4406576000
"1997-09-11,四",1260.52,1264.49,1236.1,1242.71,718195200,5885819600
"1997-09-12,五",1240.5,1247.91,1207.83,1208.7,433646900,3565977100
"1997-09-15,一",1205.9,1211.68,1175.95,1179.29,360571800,3010796300
"1997-09-16,二",1182.76,1193.84,1181.17,1187.22,267908900,2091516300
"1997-09-17,三",1188.89,1191.3,1162.24,1167.56,245191400,1907661200
"1997-09-18,四",1169.67,1181.75,1164.65,1172.36,232482100,1907744900
"1997-09-19,五",1174.77,1185.08,1168.86,1184.52,203845500,1728449700
"1997-09-22,一",1184.49,1185.09,1102.61,1103.97,308285900,2424971000
"1997-09-23,二",1096.19,1105.28,1025.13,1041.96,432371800,3016465000
"1997-09-24,三",1064.66,1110.1,1064.66,1110.01,498524000,4005446000
"1997-09-25,四",1118.36,1130.13,1106.25,1117.01,435720300,3508322100
"1997-09-26,五",1118.69,1118.94,1094.42,1109.63,275096400,2176719100
"1997-09-29,一",1106.33,1106.33,1079.33,1084.07,247238600,2035517200
"1997-09-30,二",1083.41,1100.39,1083.23,1097.38,207525500,1663258000
"1997-10-06,一",1100.7,1105.41,1091.15,1098.9,158894300,1229231710
"1997-10-07,二",1098.29,1102.71,1087.02,1102.57,177884000,1200352140
"1997-10-08,三",1122.97,1140.94,1116.71,1134.86,296251300,2243619300
"1997-10-09,四",1134.58,1138.66,1120.08,1122.47,203630000,1541477400
"1997-10-10,五",1121.33,1131.57,1120.51,1130.79,197104900,1501252100
"1997-10-13,一",1136.43,1138.4,1117.39,1119.82,192007200,1457219700
"1997-10-14,二",1116.3,1118.02,1105.7,1117.93,155595300,1150947810
"1997-10-15,三",1119.1,1129.65,1116.43,1125.78,216448000,1749252200
"1997-10-16,四",1131.4,1151.39,1131.39,1150.31,340361800,3291869700
"1997-10-17,五",1155.42,1180.22,1153.9,1176.49,461640100,4774029900
"1997-10-20,一",1183.74,1191.04,1173.56,1187.36,462971900,4829096300
"1997-10-21,二",1190.49,1192.33,1179.57,1191.86,425007600,4282884600
"1997-10-22,三",1193.7,1203.02,1168.45,1177.52,611094000,6653317300
"1997-10-23,四",1178.98,1186.07,1170.23,1173.35,418494000,4283534500
"1997-10-24,五",1172.88,1179.81,1164.06,1178.31,379800500,3588265400
"1997-10-27,一",1183.65,1235.94,1183.65,1235.83,658494900,6914509200
"1997-10-28,二",1239.58,1241.83,1172.89,1177.92,526773000,5535180200
"1997-10-29,三",1168.22,1188.8,1162.98,1184.08,360567400,3588121500
"1997-10-30,四",1189.27,1207.97,1173.65,1174.84,483653800,5026978600
"1997-10-31,五",1164.91,1181.51,1158.74,1180.39,306357500,2911499500
"1997-11-03,一",1181.16,1185.07,1176.55,1180.84,257262000,2485202500
"1997-11-04,二",1180.86,1190.47,1180.86,1184.7,237472800,2209279400
"1997-11-05,三",1186.09,1194.67,1179.34,1194.04,493917700,4369456400
"1997-11-06,四",1198.66,1203.08,1179.58,1181.11,429442600,4356875200
"1997-11-07,五",1181.78,1195.74,1177.63,1195.14,364394700,3603232200
"1997-11-10,一",1199.36,1202.58,1178.63,1185.78,401135500,4219254200
"1997-11-11,二",1183.42,1187.74,1168.48,1186.63,301322200,2992529200
"1997-11-12,三",1190.01,1193.53,1171.56,1174.19,296434300,2883434800
"1997-11-13,四",1169.7,1185.28,1157.29,1185.02,299803200,2927517900
"1997-11-14,五",1187.34,1208.83,1181.69,1197.83,390497300,3854694200
"1997-11-17,一",1210.68,1213.23,1190.43,1191.33,273429100,2651546700
"1997-11-18,二",1190.26,1193.31,1182.6,1183.34,257857800,2459010200
"1997-11-19,三",1185.09,1191.96,1175.78,1181.63,269280300,2347195400
"1997-11-20,四",1182.74,1189.49,1169.09,1172.43,327734500,2811422500
"1997-11-21,五",1168.97,1169.1,1152.01,1158.56,299426400,2736144100
"1997-11-24,一",1150.42,1150.56,1122.93,1124.94,298624400,2616503800
"1997-11-25,二",1120.85,1131.13,1114.14,1125.53,360258800,3562739400
"1997-11-26,三",1126.59,1143.82,1124.48,1143.82,236361900,2070071900
"1997-11-27,四",1141.77,1141.97,1120.52,1122.52,253197200,2287806600
"1997-11-28,五",1117.57,1139.64,1114.43,1139.63,267462000,2630263400
"1997-12-01,一",1137.58,1139.29,1130.45,1133.08,232275700,2348490700
"1997-12-02,二",1133.58,1139.59,1128.5,1130.17,188818700,1777467000
"1997-12-03,三",1129.78,1130.32,1121.58,1122.55,193030300,1790538400
"1997-12-04,四",1121.8,1137.01,1119.2,1135.86,230492700,2269438200
"1997-12-05,五",1139.48,1144.22,1134.93,1136.2,241544000,2269563200
"1997-12-08,一",1140.55,1143.08,1136.58,1139.35,212920900,1934358800
"1997-12-09,二",1139.81,1148.17,1137.32,1148.17,217953700,2082659500
"1997-12-10,三",1150.48,1158.99,1149.33,1157.83,238493100,2269650800
"1997-12-11,四",1159.05,1159.75,1145.55,1159.17,232864400,2515715900
"1997-12-12,五",1160.22,1165.81,1153.43,1153.83,258531000,2832869500
"1997-12-15,一",1155.72,1168.06,1155.59,1168.03,317785300,3320915100
"1997-12-16,二",1170.46,1174.81,1165.59,1174.8,334729800,3758268400
"1997-12-17,三",1169.64,1169.74,1145.89,1146.52,333399600,3647475000
"1997-12-18,四",1142.09,1159.1,1138.4,1154.17,305701600,3185970700
"1997-12-19,五",1154.7,1161.88,1151.14,1160.77,325388100,3346951300
"1997-12-22,一",1162.68,1169.03,1153.44,1169.01,424376900,4923252300
"1997-12-23,二",1171.9,1176.92,1165.06,1171.25,332559400,3795481300
"1997-12-24,三",1171.73,1173.54,1164.85,1169.66,319002800,3355946000
"1997-12-25,四",1170.56,1181.48,1169.99,1181.28,360921300,4117566300
"1997-12-26,五",1187.75,1194.24,1186.53,1191.92,420681800,4857847400
"1997-12-29,一",1196.3,1198.97,1185.66,1186.6,368420100,3902572200
"1997-12-30,二",1186.14,1193.61,1179.56,1181.14,280432500,2955963800
"1997-12-31,三",1182.25,1195.05,1182.25,1194.09,310508800,3585277000
"1998-01-05,一",1200.95,1220.49,1200.22,1220.47,438489600,5363527500
"1998-01-06,二",1223.73,1233.64,1215.41,1233.61,516001500,6196189000
"1998-01-07,三",1233.96,1244.09,1231.15,1244.07,576910700,6276869400
"1998-01-08,四",1243.11,1250.01,1235.89,1237.16,407879800,4535351100
"1998-01-09,五",1233.7,1245,1221.3,1239.9,536910400,6395907400
"1998-01-12,一",1242.21,1246.65,1226.4,1226.97,575085200,6646772000
"1998-01-13,二",1211.88,1211.88,1110.08,1167.65,720677500,8983543900
"1998-01-14,三",1170.34,1203.25,1170.32,1202.21,571286600,6237845400
"1998-01-15,四",1210.42,1217.85,1196.15,1215.43,554883200,5643742200
"1998-01-16,五",1215.82,1220.97,1207.92,1213.96,412809900,4534913200
"1998-01-19,一",1215.41,1216.99,1205.48,1213.13,326679700,3662318100
"1998-01-20,二",1211.28,1215.57,1195.38,1203.71,313632300,3443180100
"1998-01-21,三",1201.99,1209.69,1198.23,1200.2,304889700,2739035300
"1998-01-22,四",1200.52,1207.45,1194.38,1204.43,437065100,4027799000
"1998-01-23,五",1206.49,1224.11,1206.45,1222.91,360006900,3378707400
"1998-02-09,一",1257.99,1262.61,1244.43,1248.04,436933800,4617527300
"1998-02-10,二",1248.59,1248.59,1233.7,1236.51,533204600,4834391800
"1998-02-11,三",1234.18,1251.45,1233.53,1250.24,482481500,4262613800
"1998-02-12,四",1253.39,1254.41,1242,1246.3,475620400,4545818300
"1998-02-13,五",1246.73,1251.91,1241.82,1245.91,410733800,4452571300
"1998-02-16,一",1246.8,1247.96,1230.92,1236.24,462300500,4970755900
"1998-02-17,二",1234.83,1240.58,1228.1,1238.5,353296800,3717914700
"1998-02-18,三",1239.63,1240.18,1225.5,1229.83,461965100,4675451200
"1998-02-19,四",1229.81,1235.49,1223.93,1232.58,330486200,3345370600
"1998-02-20,五",1234.59,1237.92,1224.58,1226.02,316522900,3200611800
"1998-02-23,一",1217.85,1217.85,1195.89,1208.59,381378000,3921520600
"1998-02-24,二",1206.93,1216.34,1206.08,1208.22,353560500,3246038000
"1998-02-25,三",1208.52,1209.49,1191.75,1194.67,343615500,3325572700
"1998-02-26,四",1193,1206.67,1189.52,1206.67,315350200,3223861000
"1998-02-27,五",1209.44,1213.73,1202.86,1206.53,359053100,3607948300
"1998-03-02,一",1196.74,1205.75,1182.6,1188.31,485220100,4824057500
"1998-03-03,二",1186.52,1201.8,1185.3,1201.79,356816300,3497563800
"1998-03-04,三",1204.94,1214,1201.25,1213.25,360209000,4065636000
"1998-03-05,四",1217.84,1219.28,1206.36,1207.54,322341800,3570224500
"1998-03-06,五",1208.75,1208.98,1202.11,1206.45,309412000,3304971600
"1998-03-09,一",1207.96,1208.61,1197.57,1200.83,309745200,3486186300
"1998-03-10,二",1199.63,1205.83,1186.55,1199.83,298753400,3271175300
"1998-03-11,三",1201.26,1210.53,1187.44,1190.04,366626600,4330453600
"1998-03-12,四",1187.54,1188.28,1175.55,1178.97,251492500,2586090600
"1998-03-13,五",1177.82,1184.96,1176.01,1184.96,234026000,2449195600
"1998-03-16,一",1186.19,1188.61,1179.44,1188.48,302819300,3361364400
"1998-03-17,二",1193.67,1202.83,1193.24,1202.83,374415900,4211386200
"1998-03-18,三",1204.09,1204.74,1191.91,1193.91,363333100,4012765100
"1998-03-19,四",1192.4,1195.83,1184.86,1188.71,337906700,3477551200
"1998-03-20,五",1188.59,1192.32,1183.25,1187.5,280650000,2931556100
"1998-03-23,一",1186.56,1186.85,1178.04,1179.86,364454900,3843850600
"1998-03-24,二",1180.08,1194.06,1179.97,1194.02,353985500,3649985500
"1998-03-25,三",1207.61,1209.77,1188.84,1191.55,414031400,4565068100
"1998-03-26,四",1191,1193.82,1186.22,1188.86,453589500,4470460500
"1998-03-27,五",1189.41,1223.93,1188.85,1223.57,685287500,7179516400
"1998-03-30,一",1230.94,1249.44,1228.3,1249.43,736431000,7862277900
"1998-03-31,二",1251.33,1252.24,1238.64,1243.02,615399600,6380874700
"1998-04-01,三",1243.36,1255.01,1240.06,1254.96,624416700,6704315000
"1998-04-02,四",1259.58,1285.03,1259.58,1269.02,1035044400,10971261300
"1998-04-03,五",1268.57,1286.1,1266.03,1286.08,795597300,8314567100
"1998-04-06,一",1291.6,1306.38,1286.43,1306.38,1026195000,10166655100
"1998-04-07,二",1308.56,1310.29,1296.54,1303.14,1631768300,8076861400
"1998-04-08,三",1303.41,1322.83,1302.41,1322.79,1417801500,10762974600
"1998-04-09,四",1326.44,1328.79,1288.89,1297.22,1517079300,11900294800
"1998-04-10,五",1294.61,1311.53,1293.58,1311.51,1468958000,9246628400
"1998-04-13,一",1319.94,1326.3,1311.83,1318.75,1220440400,10267522400
"1998-04-14,二",1318.27,1320.91,1304.38,1313.72,859128500,6656103400
"1998-04-15,三",1314.17,1324.71,1314.07,1324.71,959533500,6992299300
"1998-04-16,四",1324.04,1326.42,1312.57,1316.25,948714500,7941408600
"1998-04-17,五",1311.54,1311.73,1291.08,1298.1,886675500,7251757400
"1998-04-20,一",1292.16,1302.98,1286.58,1296.01,740842900,6776031000
"1998-04-21,二",1296.77,1307.85,1295.06,1305.22,659605700,5654055200
"1998-04-22,三",1307.83,1333.07,1307.83,1332.18,792986000,7337908900
"1998-04-23,四",1337.49,1340.25,1321.04,1324.56,1068990500,7752375400
"1998-04-24,五",1324.45,1331.86,1313.61,1315.17,973721600,7782672900
"1998-04-27,一",1314.35,1318.8,1303.48,1310.38,1109133800,7534817800
"1998-04-28,二",1315.35,1333.09,1315.33,1332.99,961623600,7375241700
"1998-04-29,三",1337.89,1341.58,1328.56,1332.5,830365000,6369540100
"1998-04-30,四",1336.01,1343.46,1335.55,1343.45,902375700,6900202700
"1998-05-04,一",1353.06,1355.52,1345.36,1352.93,1107393600,7962726500
"1998-05-05,二",1355.05,1356.06,1346.59,1352.52,820099400,6171311800
"1998-05-06,三",1352.72,1355.66,1341.81,1348.41,785357800,7138631500
"1998-05-07,四",1348.89,1352.55,1326.65,1327.87,816930400,7922400800
"1998-05-08,五",1324.74,1357.6,1324.72,1357.6,1704658600,8247828700
"1998-05-11,一",1367.24,1368.03,1351.59,1354.61,1353724500,10849202700
"1998-05-12,二",1358.96,1360.06,1342.73,1349.65,870683900,7079641500
"1998-05-13,三",1351.18,1369.3,1351,1369.26,1023996200,8644810200
"1998-05-14,四",1373.17,1376.3,1360.89,1367.13,1241022600,8758129000
"1998-05-15,五",1373.43,1379.13,1361.84,1368.09,1025399000,7754799500
"1998-05-18,一",1373.67,1376.38,1360.47,1368.18,833549800,5862340600
"1998-05-19,二",1370.68,1372.87,1355.54,1362.29,626343500,5012031900
"1998-05-20,三",1362.69,1365.1,1352.17,1357.43,674654400,6168455200
"1998-05-21,四",1356.96,1367.72,1350.26,1366.66,678238800,5858890000
"1998-05-22,五",1371.37,1379.89,1370.72,1375.82,802472600,7875853400
"1998-05-25,一",1380.13,1389.66,1376.2,1389.37,1073247300,9717718200
"1998-05-26,二",1392.75,1394.44,1383.76,1390.42,877671000,8669719700
"1998-05-27,三",1393.74,1399.54,1390.55,1399.54,891308100,8857819000
"1998-05-28,四",1402.85,1405.58,1392.9,1397.9,834460800,7858011500
"1998-05-29,五",1402.68,1411.35,1402.02,1411.21,954864700,9205402900
"1998-06-01,一",1418.35,1420.55,1411.06,1415.58,990229600,9925499100
"1998-06-02,二",1419.22,1419.58,1402.63,1413.08,799885500,7266593800
"1998-06-03,三",1415.02,1421.12,1413.11,1420,860414700,7012815200
"1998-06-04,四",1420.99,1422.98,1402.75,1406.3,766662700,7121954900
"1998-06-05,五",1404.08,1414.36,1390.63,1408.61,759553800,7804385600
"1998-06-08,一",1411.96,1415.18,1401.06,1403.73,670968800,6748413900
"1998-06-09,二",1400.35,1400.35,1357.46,1369.65,725293100,6894227000
"1998-06-10,三",1367.74,1377.83,1359.39,1368.3,537151900,5648767400
"1998-06-11,四",1367.56,1371.15,1346.07,1347.68,425732100,4017341500
"1998-06-12,五",1373.11,1383.47,1365.08,1383.39,544762800,5286896300
"1998-06-15,一",1385.33,1386.98,1359.88,1365.34,550536900,5746006100
"1998-06-16,二",1362.59,1362.59,1323.53,1348.59,594709200,5688431800
"1998-06-17,三",1349,1356.66,1344.44,1348.94,514598900,4693476100
"1998-06-18,四",1352.23,1372.12,1352.23,1370.68,526226900,4574002300
"1998-06-19,五",1376.19,1392.88,1376.19,1392.88,537540600,5865710700
"1998-06-22,一",1400.47,1401.51,1392.06,1399.36,645372900,7335549100
"1998-06-23,二",1398.24,1398.71,1385.45,1397.96,641607100,7194498900
"1998-06-24,三",1399.71,1402.14,1390.86,1401.74,633946900,6638772500
"1998-06-25,四",1402.95,1404.05,1377.18,1382.04,508660000,5084424500
"1998-06-26,五",1383.29,1388.55,1376.41,1385.62,1020949000,5311187200
"1998-06-29,一",1387.02,1387.19,1356.22,1361.43,604177700,4858413600
"1998-06-30,二",1360.62,1363.59,1335.21,1339.2,382808400,3707584200
"1998-07-01,三",1363.27,1367.15,1315.18,1316.44,556596300,4673538400
"1998-07-02,四",1314.1,1331.65,1297,1331.65,487358800,4305714600
"1998-07-03,五",1335.84,1341.73,1327.8,1335.13,547951500,4619806700
"1998-07-06,一",1339.26,1339.68,1313.28,1315.28,464783500,4031200700
"1998-07-07,二",1313.65,1324.41,1307.91,1324.4,353339200,3019955100
"1998-07-08,三",1326.82,1339.16,1326.63,1338.98,347001600,3153977200
"1998-07-09,四",1341.35,1344.43,1336.66,1343.23,401097100,3240223700
"1998-07-10,五",1344.75,1360.64,1344.63,1360.62,532262600,4068972200
"1998-07-13,一",1362.69,1363,1352.16,1358.81,481254600,4402662900
"1998-07-14,二",1360.61,1361.19,1334.71,1336.56,518587000,4973576300
"1998-07-15,三",1332.41,1341.64,1326.32,1335.47,434880300,4293266300
"1998-07-16,四",1335.3,1337.64,1317.89,1325.63,438302600,4265023400
"1998-07-17,五",1325.88,1330.82,1311.75,1314.71,514974800,4607755000
"1998-07-20,一",1311.06,1311.15,1278.3,1287.07,488462100,4140592500
"1998-07-21,二",1285.79,1318.93,1284.8,1313.01,414375800,3651871900
"1998-07-22,三",1312.23,1312.37,1295.6,1299.15,355375200,3328691600
"1998-07-23,四",1299.22,1316.29,1299.15,1316.27,414101000,3245838400
"1998-07-24,五",1317.85,1330.49,1317.85,1326.82,415332400,3877897900
"1998-07-27,一",1328.34,1328.73,1314.73,1321.9,402315800,3427756700
"1998-07-28,二",1321.63,1324.27,1313.2,1317.95,351299600,2866543500
"1998-07-29,三",1317.93,1321.26,1308.26,1311.94,391626700,3146728400
"1998-07-30,四",1312.86,1318.02,1309.77,1315.3,1005721500,3247826700
"1998-07-31,五",1316.31,1319.36,1312.38,1316.92,487603100,3482685400
"1998-08-03,一",1315.14,1315.47,1299.93,1302.09,466024300,3181406200
"1998-08-04,二",1299.73,1299.73,1283.2,1293.46,420529800,2839310700
"1998-08-05,三",1293.7,1307.48,1293.11,1307.44,572034400,2745258900
"1998-08-06,四",1310.3,1312.6,1292.39,1294.16,630621100,2897823900
"1998-08-07,五",1292.08,1292.31,1267.92,1271.07,573387300,4386632300
"1998-08-10,一",1262.01,1262.03,1227.47,1234.58,493564800,3336072600
"1998-08-11,二",1230.38,1241.78,1206.64,1207.67,367271300,2745318500
"1998-08-12,三",1204.35,1207.72,1158.79,1190.55,534789100,3868193900
"1998-08-13,四",1193.36,1205.85,1185.57,1204.18,425248200,3379172700
"1998-08-14,五",1202.38,1202.38,1165.86,1168.03,472991000,3431901300
"1998-08-17,一",1152.67,1152.67,1068.66,1070.41,546424700,3434631900
"1998-08-18,二",1054.18,1094.38,1043.02,1071.3,536540600,3249983800
"1998-08-19,三",1072.74,1126.08,1072.72,1126.08,723795900,3641886800
"1998-08-20,四",1128.75,1149.96,1113.85,1149.91,647557100,4123444000
"1998-08-21,五",1149.61,1178.74,1141.51,1177.61,720114600,4740487900
"1998-08-24,一",1178.55,1190.88,1166.14,1178.55,731874100,5146376000
"1998-08-25,二",1174.41,1179.1,1159.39,1179.07,638806800,4612296100
"1998-08-26,三",1174.84,1182.33,1159.52,1160.29,666311800,3731662700
"1998-08-27,四",1152.35,1154.69,1142.17,1145.22,470050400,3099138000
"1998-08-28,五",1139.82,1146.51,1125.2,1129.72,452620800,2848366800
"1998-08-31,一",1117.97,1150.23,1072.42,1150.22,563432800,3291809700
"1998-09-01,二",1142.5,1163.17,1123.64,1143.13,563595000,3658948700
"1998-09-02,三",1137.31,1149.27,1129.81,1136.89,407131500,2396550600
"1998-09-03,四",1136.44,1151.01,1136.14,1147.2,366895800,2385250900
"1998-09-04,五",1148.95,1169.47,1148.94,1163.53,529699800,3298078100
"1998-09-07,一",1168.36,1178.38,1163.2,1178.38,492978700,3256125100
"1998-09-08,二",1181.07,1185.09,1166.66,1167.59,604550800,3517638100
"1998-09-09,三",1165.66,1190.74,1162.47,1190.68,634416500,5158327700
"1998-09-10,四",1194.88,1219.8,1194.11,1213.67,1021947200,7536379600
"1998-09-11,五",1214.83,1225.14,1206.6,1218.01,871944400,6578319000
"1998-09-14,一",1219.32,1239.77,1214.44,1239.6,1255976000,7443830900
"1998-09-15,二",1240.94,1245.42,1228.88,1230.13,1063188300,6893843600
"1998-09-16,三",1226.9,1252.2,1225.29,1252.14,944819100,6971043500
"1998-09-17,四",1257.38,1264.4,1226.72,1233.7,1122450100,9614160600
"1998-09-18,五",1227.56,1233.4,1199.58,1207,892196100,7338972700
"1998-09-21,一",1199.17,1222.38,1193.82,1222.38,606429700,4742735900
"1998-09-22,二",1224.4,1229.61,1214.02,1222.63,535037200,4264156300
"1998-09-23,三",1223.99,1233.79,1222.35,1229.85,543980700,4054573100
"1998-09-24,四",1231.05,1232.28,1196.92,1199.06,718567900,5775046300
"1998-09-25,五",1194.31,1221.58,1192.08,1221.58,532526700,4136215400
"1998-09-28,一",1224.27,1239.8,1217.65,1230.21,702177000,5302732300
"1998-09-29,二",1231.9,1239.1,1226.83,1231.75,560920900,4205031100
"1998-09-30,三",1233.58,1242.94,1233.43,1242.9,563628900,3972023200
"1998-10-05,一",1245.74,1246.59,1231.4,1234.78,452082500,3520363000
"1998-10-06,二",1234.14,1237.83,1214.83,1217.46,502726500,3586514700
"1998-10-07,三",1214.35,1219.09,1207.93,1213.79,529062300,3692593300
"1998-10-08,四",1215.95,1228.73,1215.86,1228.71,488543600,3823311800
"1998-10-09,五",1231.94,1241.05,1229.84,1236.93,630261400,5135613000
"1998-10-12,一",1239.57,1247.24,1227.85,1247.15,707474800,5934717800
"1998-10-13,二",1250.68,1257.34,1239.77,1244.07,706190800,6036698600
"1998-10-14,三",1243.71,1247.66,1234.07,1240.59,534960500,4335837300
"1998-10-15,四",1243.19,1254.83,1241.26,1254.81,635244700,5554401500
"1998-10-16,五",1259.14,1263.71,1249.93,1251.53,714189600,6210445400
"1998-10-19,一",1255.05,1256.76,1240.45,1246.24,582946700,4952700900
"1998-10-20,二",1248.23,1251.43,1238.3,1243.65,551024700,4196373400
"1998-10-21,三",1243.54,1243.59,1206.11,1207.83,751029700,6347663200
"1998-10-22,四",1202.21,1216.17,1191.56,1216.08,639889500,5419410700
"1998-10-23,五",1217.13,1230.83,1215.47,1217.43,676870800,5913375400
"1998-10-26,一",1215.56,1215.56,1195.24,1208.27,675424100,6095442100
"1998-10-27,二",1207.2,1218.45,1204.73,1216.79,511929000,4898582600
"1998-10-28,三",1218.5,1226.1,1217.23,1225.93,526831800,4977480000
"1998-10-29,四",1226.92,1229.74,1214.92,1216.76,459796100,4261178200
"1998-10-30,五",1216.01,1225.64,1215.45,1217.32,471584900,4522613100
"1998-11-02,一",1217.33,1223.53,1210.84,1223.48,441784200,4249035000
"1998-11-03,二",1225.26,1236.96,1225.22,1236.86,480203100,4818945100
"1998-11-04,三",1239.5,1240.7,1232.78,1235.8,463648300,4515809900
"1998-11-05,四",1237.54,1253.31,1237.51,1253.28,694865700,6348039500
"1998-11-06,五",1258.69,1267.39,1257.17,1259.77,1013118400,9123308300
"1998-11-09,一",1263.96,1283.11,1263.96,1283.11,883134900,7894014000
"1998-11-10,二",1283.92,1288.74,1275.19,1286.56,794173000,7131539000
"1998-11-11,三",1287.42,1288.34,1278.47,1286.2,673256700,6595376100
"1998-11-12,四",1286.56,1295.06,1278.94,1282.99,679828400,6660339100
"1998-11-13,五",1281.99,1285.92,1271.32,1282.51,569246600,5548211200
"1998-11-16,一",1284.33,1293.76,1281.59,1293.74,588832200,5945615900
"1998-11-17,二",1296.63,1300.15,1285.02,1290.59,570874900,5622580900
"1998-11-18,三",1291,1292.93,1281.59,1285.5,549983500,5112591400
"1998-11-19,四",1283.96,1284.14,1274.08,1275.6,493580000,5251532600
"1998-11-20,五",1272.66,1279.38,1271.66,1275.36,459399800,4577253700
"1998-11-23,一",1275.9,1278.08,1269.09,1273.79,461679400,4267048500
"1998-11-24,二",1274.45,1282.93,1274.41,1278.92,676466100,4090663400
"1998-11-25,三",1280.27,1283.96,1262.23,1263.84,501515800,3856932800
"1998-11-26,四",1260.08,1262.78,1247.83,1252.82,438617000,3934525400
"1998-11-27,五",1252.36,1259.04,1242.57,1245.08,431714600,3662602100
"1998-11-30,一",1244.92,1247.42,1238.14,1247.42,407449400,3274811200
"1998-12-01,二",1249.01,1251.86,1232,1234.35,390596400,3147626800
"1998-12-02,三",1233.16,1236.97,1222.65,1236.97,345008700,3004046700
"1998-12-03,四",1238.29,1239.26,1229.84,1232.51,378676900,3305679000
"1998-12-04,五",1232.43,1234.63,1213.56,1219.2,379959600,3159102800
"1998-12-07,一",1234.76,1237.69,1207.76,1209.54,335804500,2649864600
"1998-12-08,二",1209.83,1223.33,1209.81,1223.26,298449300,2179788700
"1998-12-09,三",1224.35,1225.99,1219.01,1224.08,257332100,1963065200
"1998-12-10,四",1224.15,1224.93,1203.07,1204.64,352025300,2562549900
"1998-12-11,五",1201.84,1214.24,1194.07,1214.21,318770000,2215137700
"1998-12-14,一",1214.59,1214.67,1194.66,1196.3,283055600,2058674100
"1998-12-15,二",1193.64,1194.89,1173.92,1194.83,331447300,2376442400
"1998-12-16,三",1194.94,1195.55,1180.85,1183.06,240466400,1816286900
"1998-12-17,四",1180.17,1180.17,1158.51,1160.08,354438800,2452256800
"1998-12-18,五",1155.75,1167.64,1150.72,1155.92,286304400,1994390100
"1998-12-21,一",1153.66,1163.24,1150.39,1154.43,234221100,1648014600
"1998-12-22,二",1155.63,1185.98,1155.61,1185.97,352720500,2556981600
"1998-12-23,三",1186.98,1187.91,1170.16,1172.51,292359800,2167776700
"1998-12-24,四",1171.71,1171.71,1161.84,1168.98,266074000,2111622600
"1998-12-25,五",1169.59,1178.92,1169.54,1173.91,298322700,1913445200
"1998-12-28,一",1175.63,1179,1157.7,1159.94,337349500,1949647700
"1998-12-29,二",1157.48,1157.57,1139.99,1142.73,317182400,2056304600
"1998-12-30,三",1141.89,1151.72,1125.56,1148.26,372027800,2306941900
"1998-12-31,四",1149.83,1153.15,1140.35,1146.7,232206900,1693962100
"1999-01-04,一",1144.89,1144.89,1124.21,1125.82,122035900,1162131240
"1999-01-05,二",1123.7,1123.7,1104.5,1119.96,165597300,1539226300
"1999-01-06,三",1120.67,1137.21,1120.4,1132.58,204391300,1965295400
"1999-01-07,四",1133.17,1140.48,1125.67,1137.73,230445800,2252123800
"1999-01-08,五",1138.77,1168.83,1138.77,1168.81,317301400,3260373400
"1999-01-11,一",1169.91,1174.43,1158.54,1172.81,269808300,2931034200
"1999-01-12,二",1171.74,1171.85,1158.3,1158.86,304464800,3346021300
"1999-01-13,三",1153.29,1159.94,1144.45,1148.15,297451800,3035515900
"1999-01-14,四",1145.9,1153.09,1142.34,1148.66,236088700,2390041700
"1999-01-15,五",1149.78,1150.68,1136.3,1137.31,314310800,3164482600
"1999-01-18,一",1135.08,1153.42,1126.71,1153.11,331664900,3379570100
"1999-01-19,二",1154.16,1160.26,1149.36,1158.55,348565400,3472683600
"1999-01-20,三",1159.03,1162.97,1148.81,1151.36,255585100,2463827600
"1999-01-21,四",1150.3,1158.51,1145.3,1158.5,272711200,2652448900
"1999-01-22,五",1159.92,1168.18,1157.15,1162.34,374850000,3604596900
"1999-01-25,一",1161.98,1162.44,1146.97,1148.11,326254500,2915820800
"1999-01-26,二",1145.07,1146.11,1132.95,1138.21,271612400,2547779200
"1999-01-27,三",1137.69,1146.5,1134.13,1146.49,757097800,2533490700
"1999-01-28,四",1147.86,1150.58,1137.11,1140.97,625434500,3409020300
"1999-01-29,五",1139.83,1140.13,1130.33,1134.67,515158400,2834648800
"1999-02-01,一",1131.65,1131.66,1118.55,1120.53,508415100,2538582700
"1999-02-02,二",1119.78,1126.41,1114.79,1126.4,228439800,2198951000
"1999-02-03,三",1126.83,1127.27,1115.13,1116.86,232208200,2251160900
"1999-02-04,四",1114.65,1114.69,1102.49,1103.5,228958800,2116437200
"1999-02-05,五",1101.48,1101.48,1079.22,1081.44,238160700,2217084900
